"year" "age" "lung" "nasal" "other"
1931 10 1 0 1269
1931 15 2 0 2201
1931 20 6 0 3116
1931 25 14 0 3024
1931 30 30 1 3188
1931 35 68 1 4165
1931 40 149 3 5651
1931 45 274 5 8326
1931 50 431 10 13073
1931 55 586 15 19500
1931 60 646 16 30033
1931 65 636 19 45159
1931 70 533 27 72884
1931 75 464 48 120403
1931 80 324 47 183341
1936 10 1 0 1269
1936 15 2 0 2201
1936 20 6 0 3116
1936 25 14 0 3024
1936 30 30 1 3188
1936 35 68 1 4165
1936 40 149 3 5651
1936 45 274 5 8326
1936 50 431 10 13073
1936 55 586 15 19500
1936 60 646 16 30033
1936 65 636 19 45159
1936 70 533 27 72884
1936 75 464 48 120403
1936 80 324 47 183341
1941 10 1 0 1194
1941 15 2 0 2221
1941 20 6 0 3697
1941 25 16 0 3175
1941 30 34 1 3088
1941 35 81 1 3549
1941 40 191 3 4841
1941 45 384 5 7275
1941 50 597 10 11253
1941 55 883 15 17624
1941 60 1021 16 27190
1941 65 970 19 41844
1941 70 748 27 63503
1941 75 631 48 103716
1941 80 385 47 161527
1946 10 1 0 690
1946 15 3 0 1194
1946 20 8 0 1589
1946 25 18 0 1787
1946 30 36 1 1990
1946 35 94 1 2493
1946 40 236 3 3643
1946 45 544 5 6154
1946 50 954 10 9755
1946 55 1350 15 16058
1946 60 1717 16 26287
1946 65 1763 19 39985
1946 70 1400 27 63136
1946 75 1085 48 100618
1946 80 765 47 156959
1951 10 0 0 480
1951 15 2 0 858
1951 20 7 0 1230
1951 25 13 0 1253
1951 30 35 1 1474
1951 35 98 1 2008
1951 40 248 3 2998
1951 45 579 5 5126
1951 50 1224 10 9222
1951 55 2003 15 15410
1951 60 2555 16 25864
1951 65 2926 19 41555
1951 70 2624 27 65408
1951 75 2069 48 105973
1951 80 1416 47 164695
1956 10 0 0 403
1956 15 2 0 875
1956 20 4 0 1116
1956 25 12 0 1050
1956 30 35 1 1228
1956 35 93 1 1801
1956 40 251 3 2795
1956 45 590 3 4667
1956 50 1248 6 8296
1956 55 2317 12 14941
1956 60 3315 17 24552
1956 65 3926 24 39537
1956 70 3878 28 63512
1956 75 3332 43 99886
1956 80 2258 50 159181
1961 10 0 0 407
1961 15 2 0 949
1961 20 5 0 1098
1961 25 11 0 997
1961 30 34 0 1184
1961 35 90 1 1764
1961 40 223 3 2822
1961 45 563 4 4766
1961 50 1221 8 8098
1961 55 2284 9 14240
1961 60 3663 14 24412
1961 65 4844 18 39332
1961 70 4977 26 62544
1961 75 4513 41 97792
1961 80 3417 42 154476
1966 10 0 0 389
1966 15 2 0 959
1966 20 4 0 971
1966 25 10 0 919
1966 30 25 0 1096
1966 35 76 1 1616
1966 40 216 2 2812
1966 45 531 5 4771
1966 50 1160 7 8088
1966 55 2201 11 13666
1966 60 3695 16 23118
1966 65 5273 23 38657
1966 70 6210 29 61478
1966 75 5914 36 94831
1966 80 4563 31 138973
1971 10 0 0 346
1971 15 1 0 875
1971 20 4 0 983
1971 25 10 1 876
1971 30 24 1 1048
1971 35 58 1 1524
1971 40 177 4 2670
1971 45 503 4 4786
1971 50 1070 8 8018
1971 55 2077 11 13204
1971 60 3546 16 21570
1971 65 5174 26 36232
1971 70 6820 29 59169
1971 75 7273 33 92488
1971 80 6089 38 141812
1976 10 0 0 293
1976 15 1 0 868
1976 20 2 0 930
1976 25 7 1 875
1976 30 17 1 976
1976 35 56 1 1454
1976 40 139 2 2394
1976 45 403 3 4311
1976 50 1003 9 7687
1976 55 1896 9 12544
1976 60 3342 15 20787
1976 65 4985 17 33729
1976 70 6718 20 55480
1976 75 8068 38 89199
1976 80 7744 33 137360
